batch	id	cat	cats	src	sym	w	h	asset	map	loc	excluded	titleCN	title
5	cycle-plot	custom	custom	cycle-plot.js	official_cycle_plot	720	460			146		周期图	Cycle Plot
5	wind-barb	custom	custom|dataZoom	wind-barb.ts	official_wind_barb	720	460	yes		322		风向图	Wind Barb
5	custom-spiral-race	custom	custom	custom-spiral-race.js	official_custom_spiral_race	720	460			301		自定义螺旋线竞速	Custom Spiral Race
	effectScatter-bmap	scatter	scatter|map	effectScatter-bmap.ts	official_effectscatter_bmap	640	420			607	bmap/echarts-gl	全国主要城市空气质量 - 百度地图	Air Quality - Baidu Map
	lines-bmap	map	map|lines	lines-bmap.ts	official_lines_bmap	720	460	yes		166	bmap/echarts-gl	杭州热门步行路线 - 百度地图	A Hiking Trail in Hangzhou - Baidu Map
	lines-bmap-bus	map	map|lines	lines-bmap-bus.ts	official_lines_bmap_bus	720	460	yes		174	bmap/echarts-gl	北京公交路线 - 百度地图	Bus Lines of Beijing - Baidu Map
	lines-bmap-effect	map	map|lines	lines-bmap-effect.ts	official_lines_bmap_effect	720	460	yes		205	bmap/echarts-gl	北京公交路线 - 线特效	Bus Lines of Beijing - Line Effect
	map-bin	map	map	map-bin.js	official_map_bin	720	460			245	bmap/echarts-gl	在地图上显示分箱图	Binning on Map
	map-polygon	map	map	map-polygon.js	official_map_polygon	720	460			664	bmap/echarts-gl	在地图上绘制多边形	Draw Polygon on Map
	heatmap-bmap	heatmap	heatmap	heatmap-bmap.js	official_heatmap_bmap	640	420	yes		53	bmap/echarts-gl	热力图与百度地图扩展	Heatmap on Baidu Map Extension
	graphic-wave-animation	graphic	graphic	graphic-wave-animation.js	official_graphic_wave_animation	640	420			0	no-source-upstream	波浪动画	Wave Animation
