demo	sceneChanged	total	animated
official-pie-legend	CRASHED	0	0
official-pie-legend	true	263	49
official-pie-nest	CRASHED	0	0
official-pie-nest	true	55	8
official-scatter-simple	CRASHED	0	0
official-scatter-simple	false	93	0
official-scatter-anscombe-quartet	CRASHED	0	0
official-scatter-anscombe-quartet	false	296	0
official-scatter-clustering	CRASHED	0	0
official-scatter-clustering	false	196	0
official-scatter-clustering-process	CRASHED	0	0
official-scatter-clustering-process	false	136	0
official-scatter-exponential-regression	CRASHED	0	0
official-scatter-exponential-regression	false	134	18
official-scatter-effect	CRASHED	0	0
official-scatter-effect	false	589	6
official-scatter-linear-regression	CRASHED	0	0
official-scatter-linear-regression	true	472	200
official-scatter-polynomial-regression	CRASHED	0	0
official-scatter-polynomial-regression	false	194	18
official-scatter-jitter	CRASHED	0	0
official-scatter-jitter	false	14034	0
official-scatter-punchCard	CRASHED	0	0
official-scatter-punchCard	true	76	0
official-scatter-single-axis	CRASHED	0	0
official-scatter-single-axis	false	539	0
official-scatter-weight	CRASHED	0	0
official-scatter-weight	true	580	520
official-scatter-aggregate-bar	CRASHED	0	0
official-scatter-aggregate-bar	false	1077	0
official-scatter-label-align-right	CRASHED	0	0
official-scatter-label-align-right	false	75	0
official-scatter-label-align-top	CRASHED	0	0
official-scatter-label-align-top	false	87	0
official-scatter-symbol-morph	CRASHED	0	0
official-scatter-symbol-morph	false	207	0
official-scatter-large	CRASHED	0	0
official-scatter-large	true	96	13
official-scatter-nebula	CRASHED	0	0
official-scatter-nebula	true	102	0
official-scatter-stream-visual	CRASHED	0	0
official-scatter-stream-visual	false	32414	0
official-bubble-gradient	CRASHED	0	0
official-bubble-gradient	true	114	41
official-scatter-aqi-color	CRASHED	0	0
official-scatter-aqi-color	true	216	126
official-scatter-nutrients	CRASHED	0	0
official-scatter-nutrients	false	2041	0
official-scatter-nutrients-matrix	CRASHED	0	0
official-scatter-nutrients-matrix	false	8249	0
official-scatter-polar-punchCard	CRASHED	0	0
official-scatter-polar-punchCard	true	58	0
official-scatter-life-expectancy-timeline	CRASHED	0	0
official-scatter-life-expectancy-timeline	false	249	0
official-scatter-painter-choice	CRASHED	0	0
official-scatter-painter-choice	false	8266	0
official-scatter-world-population	CRASHED	0	0
official-scatter-world-population	false	784	0
official-scatter-logarithmic-regression	CRASHED	0	0
official-scatter-logarithmic-regression	true	196	57
official-effectScatter-map	CRASHED	0	0
official-effectScatter-map	true	143	24
official-scatter-map	CRASHED	0	0
official-scatter-map	true	117	0
official-scatter-map-brush	CRASHED	0	0
official-scatter-map-brush	false	520	0
official-scatter-weibo	CRASHED	0	0
official-scatter-weibo	true	121	0
official-map-iceland-pie	CRASHED	0	0
official-map-iceland-pie	true	59	12
official-geo-choropleth-scatter	CRASHED	0	0
official-geo-choropleth-scatter	false	66	0
official-geo-graph	CRASHED	0	0
official-geo-graph	false	64	0
official-geo-beef-cuts	CRASHED	0	0
official-geo-beef-cuts	false	279	0
official-geo-organ	CRASHED	0	0
official-geo-organ	false	175	0
official-geo-seatmap-flight	CRASHED	0	0
official-geo-seatmap-flight	false	1038	0
official-geo-svg-lines	CRASHED	0	0
official-geo-svg-lines	false	776	0
official-geo-svg-map	CRASHED	0	0
official-geo-svg-map	false	358	0
official-geo-svg-scatter-simple	CRASHED	0	0
official-geo-svg-scatter-simple	false	3106	18
official-geo-svg-traffic	CRASHED	0	0
official-geo-svg-traffic	false	538	0
official-lines-airline	CRASHED	0	0
official-lines-airline	false	443	0
official-lines-ny	CRASHED	0	0
official-map-bar-morph	CRASHED	0	0
official-map-bar-morph	false	123	0
official-map-HK	CRASHED	0	0
official-map-HK	false	63	0
official-map-usa	CRASHED	0	0
official-map-usa	false	131	0
official-map-usa-projection	CRASHED	0	0
official-map-usa-projection	false	131	0
official-geo-lines	CRASHED	0	0
official-geo-lines	false	176	40
official-geo-map-scatter	CRASHED	0	0
official-geo-map-scatter	false	162	0
official-intraday-breaks-1	CRASHED	0	0
official-intraday-breaks-1	false	3212	1564
official-intraday-breaks-2	CRASHED	0	0
official-intraday-breaks-2	false	566	242
official-candlestick-simple	CRASHED	0	0
official-candlestick-simple	false	31	0
